;name;place_name;promoted_content;query;tweet_volume;url
219;#?_????_???_??_???;Worldwide;;%23%EC%A0%9C_%EA%B7%B8%EB%A6%BC%EC%B2%B4%EB%8A%94_%EC%96%B4%EB%94%94%EC%84%9C_%ED%8B%B0%EA%B0%80_%EB%82%98%EB%82%98%EC%9A%94;;http://twitter.com/search?q=%23%EC%A0%9C_%EA%B7%B8%EB%A6%BC%EC%B2%B4%EB%8A%94_%EC%96%B4%EB%94%94%EC%84%9C_%ED%8B%B0%EA%B0%80_%EB%82%98%EB%82%98%EC%9A%94
220;#PoshBandNames;Worldwide;;%23PoshBandNames;;http://twitter.com/search?q=%23PoshBandNames
221;#?????_???_??????_??_????;Worldwide;;%23%D9%88%D8%B1%D9%8A%D9%86%D8%A7_%D8%A7%D8%AE%D8%B1_%D9%85%D8%AD%D8%A7%D8%AF%D8%AB%D9%87_%D9%85%D8%B9_%D8%A7%D9%84%D8%AD%D8%A8;50504;http://twitter.com/search?q=%23%D9%88%D8%B1%D9%8A%D9%86%D8%A7_%D8%A7%D8%AE%D8%B1_%D9%85%D8%AD%D8%A7%D8%AF%D8%AB%D9%87_%D9%85%D8%B9_%D8%A7%D9%84%D8%AD%D8%A8
222;#ACCKickoff;Worldwide;;%23ACCKickoff;;http://twitter.com/search?q=%23ACCKickoff
223;#TrumpParis;Worldwide;;%23TrumpParis;;http://twitter.com/search?q=%23TrumpParis
224;#BTSGünü;Worldwide;;%23BTSG%C3%BCn%C3%BC;38906;http://twitter.com/search?q=%23BTSG%C3%BCn%C3%BC
225;#SelenasNewSingleOniTunes;Worldwide;;%23SelenasNewSingleOniTunes;;http://twitter.com/search?q=%23SelenasNewSingleOniTunes
226;#QuintaDetremuraSdv;Worldwide;;%23QuintaDetremuraSdv;11320;http://twitter.com/search?q=%23QuintaDetremuraSdv
227;#???_????_????_??_????????????;Worldwide;;%23%D9%82%D8%B7%D8%B1_%D8%AA%D8%B9%D9%8A%D8%B4_%D8%AD%D8%A7%D9%84%D9%87_%D9%85%D9%86_%D8%A7%D9%84%D8%B4%D9%8A%D8%B2%D9%88%D9%81%D8%B1%D9%8A%D9%86%D9%8A%D8%A7;;http://twitter.com/search?q=%23%D9%82%D8%B7%D8%B1_%D8%AA%D8%B9%D9%8A%D8%B4_%D8%AD%D8%A7%D9%84%D9%87_%D9%85%D9%86_%D8%A7%D9%84%D8%B4%D9%8A%D8%B2%D9%88%D9%81%D8%B1%D9%8A%D9%86%D9%8A%D8%A7
228;#HoyTeDigoConUnGif;Worldwide;;%23HoyTeDigoConUnGif;;http://twitter.com/search?q=%23HoyTeDigoConUnGif
229;#16JSiSiSi;Worldwide;;%2316JSiSiSi;;http://twitter.com/search?q=%2316JSiSiSi
230;#4yearswithoutcory;Worldwide;;%234yearswithoutcory;33169;http://twitter.com/search?q=%234yearswithoutcory
231;#QuietstormEP;Worldwide;;%23QuietstormEP;;http://twitter.com/search?q=%23QuietstormEP
232;#??????????????;Worldwide;;%23%E3%81%82%E3%81%AA%E3%81%9F%E3%82%92%E4%B8%80%E6%96%87%E5%AD%97%E3%81%A7%E8%AA%AC%E6%98%8E%E3%81%97%E3%81%A6%E3%81%BF%E3%81%9F;;http://twitter.com/search?q=%23%E3%81%82%E3%81%AA%E3%81%9F%E3%82%92%E4%B8%80%E6%96%87%E5%AD%97%E3%81%A7%E8%AA%AC%E6%98%8E%E3%81%97%E3%81%A6%E3%81%BF%E3%81%9F
233;#CelebramosElAmorMG;Worldwide;;%23CelebramosElAmorMG;;http://twitter.com/search?q=%23CelebramosElAmorMG
234;#????_???_????_??_?;Worldwide;;%23%EB%A9%98%EC%85%98%EC%9C%BC%EB%A1%9C_%EB%82%B4%EA%B7%B8%EB%A6%BC_%EA%B6%81%EA%B8%88%ED%95%9C%EC%A0%90_%EB%98%90%EB%8A%94_%ED%8C%81;;http://twitter.com/search?q=%23%EB%A9%98%EC%85%98%EC%9C%BC%EB%A1%9C_%EB%82%B4%EA%B7%B8%EB%A6%BC_%EA%B6%81%EA%B8%88%ED%95%9C%EC%A0%90_%EB%98%90%EB%8A%94_%ED%8C%81
235;#PDG29;Worldwide;;%23PDG29;;http://twitter.com/search?q=%23PDG29
236;#21stCenturyHorrorStories;Worldwide;;%2321stCenturyHorrorStories;;http://twitter.com/search?q=%2321stCenturyHorrorStories
