;words;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854309011763732481;['looks', 'cool', '!', '#', 'Monopoly', '#', 'pokemon', 'https', ':', '//t.co/JDIa3E7n4V'];59;10;False;True;False;0;False;0.11864406779661017;True;False;429;95;39;53;False;True;True;0.0
854309559724277760;"['Thanks', ',', '@', 'Groupon', '!', 'signed', 'Rock', ""'n"", ""'"", 'Roll', 'Philadelphia', 'Half', 'Marathon', '!', 'https', ':', '//t.co/LqFoJSjQ7O', '#', 'gonnaPRthisbitch']";120;19;False;True;True;0;False;0.13333333333333333;True;False;3224;12390;237;167;False;True;False;0.0
854310542122549248;['Use', 'Groupon', 'Massage', 'Business', '(', 'Part', '1', ')', '@', 'dailydealmktg', 'https', ':', '//t.co/3k18Z6S06Z', '#', 'massagetherapy', '#', 'marketing'];118;17;False;False;False;0;False;0.1016949152542373;True;False;1371;9160;513;196;False;True;True;0.0
854311433269649410;['New', 'Coupons', ':', 'St.', 'Paul', 'Saints', 'Discount', 'Tickets', 'Goldstar', 'Groupon', 'https', ':', '//t.co/KgwSYEl0HC'];93;13;False;False;False;0;False;0.16129032258064516;False;False;2520;17839;3824;2051;False;True;True;0.0
854311638056353792;['90', '%', 'Dance', 'Code', 'Studio', 'https', ':', '//t.co/dGMzUnJ5vI', 'https', ':', '//t.co/cGtL5y6pLg'];82;11;False;False;False;0;False;0.15853658536585366;False;False;353;60322;2130;2559;False;True;True;0.0
854311693588996097;['Download', 'run', 'app', 'nearbuy', 'Groupon', ':', 'https', ':', '//t.co/o0DcpVXBGF'];68;9;False;False;False;0;False;0.11764705882352941;False;False;7;8;6;24;False;False;False;0.0
854311796034949128;['#', 'MASSiveCon', 'deal', '#', 'Groupon', 'ends', 'today', '!', 'https', ':', '//t.co/pBw05JY1Q5'];68;11;False;True;False;0;False;0.16176470588235295;True;True;2400;6935;218;473;False;True;True;0.0
854312706161098752;['62', '%', 'Haircut', 'Packages', 'https', ':', '//t.co/YlEkrpblOT', 'https', ':', '//t.co/NjBlXuWXlV'];78;10;False;False;False;0;False;0.1794871794871795;False;False;210;39054;785;0;False;True;False;0.0
854312962332344322;['87', '%', 'Fred', 'Astaire', 'Dance', 'Studio', 'https', ':', '//t.co/guKSgCKBAI', 'https', ':', '//t.co/MmCFih2TnN'];84;12;False;False;False;0;False;0.20238095238095238;False;False;137;7548;301;0;False;True;False;0.0
854313045589348352;['New', 'post', ':', 'Groupon', 'College', 'Discount', ':', 'extra', '25', '%', 'local', 'Groupons', 'year', 'long', 'https', ':', '//t.co/xQKbGiaTFW'];102;17;False;False;False;0;False;0.10784313725490197;False;False;1512;1584;97;83;False;True;True;0.0
854313131992068096;['ATTENTION', 'Groupon', 'Restaurant', 'com', 'coupon', 'holders', '!', 'March', '22', ',', '2017', 'Main', 'Street', 'Daily', 'Grind', '...', 'https', ':', '//t.co/NFdAyDI6LJ'];139;19;False;True;False;0;False;0.17266187050359713;False;False;1352;1073;291;107;False;True;True;0.0
854313135649415169;['58', '%', 'Salsa', 'Tango', 'Classes', 'El', 'Studio', 'Tango', 'https', ':', '//t.co/yndTCgLtSf', 'https', ':', '//t.co/nEzXMznQtD'];103;14;False;False;False;0;False;0.1650485436893204;False;False;137;13625;267;0;False;True;False;0.0
854313617528848386;"[""'m"", 'moderating', 'panel', '!', ""n't"", 'miss', 'Elevate', ""'s"", '2nd', 'meetup', 'great', 'panelists', 'Kraft', ',', 'Groupon', ',', 'Bank', 'America', ',', '…', 'https', ':', '//t.co/JQN6q4BP45']";139;23;False;True;False;0;True;0.08633093525179857;False;True;2121;777;86;105;False;True;False;1.0
