;words;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;senitment;senitment_conf;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854352474207133696;"['Apple', ',', 'Netflix', 'Price', 'Targets', 'Raised', ';', 'McDonald', ""'s"", 'Upgraded', ';', 'Alibaba', 'Buy', 'https', ':', '//t.co/NANf1RS02c']";95;16;False;False;False;0.0;False;0.16842105263157894;False;False;neg;1.0;2383;336024;1319;539;False;True;True;0.0
854353026655567872;['makes', 'different', 'blood', 'flowing', 'body', '.', 'https', ':', '//t.co/xi3XWu0bMt', 'https', ':', '//t.co/XZxGjjtKeW'];107;12;False;False;False;0.0;True;0.07476635514018691;False;False;neg;1.0;1568;487;15;28;False;False;True;0.0
854353700307050500;['#', 'Alibaba', 'one', 'top', 'Players', '#', 'Asia', 'Globally', 'years', 'come', 'https', ':', '//t.co/NR0UdI2vBc'];106;13;False;False;False;0.0;False;0.08490566037735849;True;False;pos;1.0;142;262027;17335;15802;False;True;True;0.0
854354906450239488;['@', 'kdastgirkhan', 'chairing', 'meeting', '#', 'MichaelEvans', ',', 'President', '#', 'alibaba', 'Group', '.', '#', 'mocommercepk', '#', 'alibaba', '#', 'ecommerce', 'https', ':', '//t.co/Wp98bSh4P0'];138;21;False;False;False;0.0;False;0.050724637681159424;True;False;pos;1.0;416;2281;2307;169;False;True;True;8.0
854355401307041792;['China', ',', 'Tencent’s', 'WeChat', 'Threatens', 'Alibaba’s', 'Alipay', 'https', ':', '//t.co/vQuSRmdIs2', '#', 'information'];90;12;False;False;False;0.0;False;0.13333333333333333;True;False;neg;1.0;1418;8712;252;126;False;True;False;1.0
854355637056135168;['deliver', '3d', 'filament', 'customs', 'today', 'https', ':', '//t.co/HPgFeBHGjN', 'https', ':', '//t.co/23p7Uhw3ZL'];84;11;False;False;False;0.0;False;0.11904761904761904;False;False;neg;1.0;48;37;149;1142;False;True;False;0.0
854355715225419776;"['Futaba', ""'s"", 'actually', 'Alibaba', '(', 'king', 'thieves', ')', '.', 'wo', ""n't"", 'say', 'anymore', 'cause', 'people', ""n't"", 'reached', 'yet', '.']";137;19;False;False;False;0.0;True;0.021897810218978103;False;False;neg;1.0;2150;40172;355;427;False;True;True;0.0
854356105174167552;['@', 'YusufDFI', 'China', 'creating', 'inefficient', 'Internet', 'protecting', 'Alibaba', ',', 'Baidu', ',', 'Didi', 'many', 'internet', 'companies'];117;15;False;False;False;0.0;False;0.07692307692307693;False;False;neg;1.0;2876;5015;170;627;False;True;False;0.0
854356569001250820;['Alibaba', 'Officials', 'visit', 'could', 'get', '$', '400', 'million', 'investment', 'Pakistan', '–', 'TechJuice', 'https', ':', '//t.co/U49oYlFiyq'];105;15;False;False;False;0.0;False;0.0761904761904762;False;True;neg;1.0;2028;11507;197;232;False;True;False;0.0
854356837797416961;['Buy', 'Alibaba', '6', 'Chinese', 'Internet', 'Stocks', '-', 'Emerging', 'Markets', 'Daily', 'https', ':', '//t.co/SeS6oaU7Ei', '#', 'innovation', '#', 'tech', '#', 'future', '#', 'tech…'];139;21;False;False;False;0.0;False;0.11510791366906475;True;False;pos;1.0;100;22300;975;2340;False;False;False;0.0
854356889106251776;"['Alibaba', ""'s"", 'New', 'Retail', 'Integrates', 'E-Commerce', ',', 'Stores', ',', '&', 'amp', ';', 'Logistics', ':', 'Next', 'Gen', 'Retail', '?', 'https', ':', '//t.co/ireMw2tLlP']";124;21;True;False;False;0.0;False;0.14516129032258066;False;False;pos;0.6;2153;20108;1396;2523;False;True;True;0.0
854356964285054977;['@', 'Michael_KC_Chan', 'alipay', 'alibaba', '?'];45;5;True;False;False;0.0;False;0.08888888888888889;False;False;pos;1.0;541;40;8;23;False;False;False;
854357418574192640;['Government', 'Pakistan', 'welcomes', 'Alibaba', 'Group', 'Pakistan', 'extend', 'full', 'support', 'facilitation…', 'https', ':', '//t.co/Pg8tqwdNtW'];128;13;False;False;False;0.0;False;0.0625;False;True;neg;0.6;416;2285;2307;169;False;True;True;47.0
854357462161469440;['Government', 'Pakistan', 'welcomes', 'Alibaba', 'Group', 'Pakistan', 'extend', 'full', 'support', 'facilitation', '...', 'https', ':', '//t.co/OYQQFmevDo'];130;14;False;False;False;0.0;False;0.08461538461538462;False;False;neg;0.6;416;2286;2307;169;False;True;True;17.0
854358084608827393;['Alibaba', ',', 'good', 'news', 'market', 'well', 'consumers', '.', 'https', ':', '//t.co/9bjaz1ExmP'];91;11;False;False;False;0.0;False;0.03296703296703297;False;True;pos;1.0;1791;115068;32210;329;False;True;True;2.0
854358156998316032;['Coffee', 'packing', 'machine', 'https', ':', '//t.co/wXREYRYmGz', 'https', ':', '//t.co/uDV81LW3fq'];70;9;False;False;False;0.0;False;0.17142857142857143;False;True;neg;1.0;1466;1099;353;1273;False;True;True;0.0
854358381611466752;"['affect', 'local', '#', 'ecommerce', 'ecosystem', '#', 'Pakistan', '?', 'Think', ""'s"", 'bad', 'idea', 'may', 'stifling', 'effect', 'https', ':', '//t.co/dJVTc4twCA']";136;18;True;False;False;0.0;True;0.058823529411764705;True;True;neg;1.0;3360;22661;2663;496;False;True;True;0.0
854359657057529856;['@', 'Amazon', '.', 'Maybe', 'alibaba', 'better', 'afterall', '.'];43;8;False;False;False;0.0;False;0.046511627906976744;False;False;pos;1.0;2262;677;164;640;False;True;False;0.0
854359679031537671;"['``', 'Alibaba', 'woman', ',', 'think', 'face', 'similar', 'Arba', '.', ""''"", 'oMG', 'STOP', 'OHTAKA', 'ARBA', 'WORST']";107;15;False;False;False;0.0;True;0.29906542056074764;False;False;neg;1.0;1535;28354;398;863;False;True;True;0.0
854360178506039297;['#', 'Alibaba', '-', 'Backed', 'Best', '#', 'Logistics', 'Gears', '$', '1B', 'IPO', 'https', ':', '//t.co/x80SfFzd4f', 'https', ':', '//t.co/04hoROZpYm'];102;17;False;False;False;0.0;False;0.1568627450980392;True;False;neg;1.0;1256;2220;852;438;False;True;True;0.0
854360193223847939;['Alibaba’s', 'Ant', 'Financial', 'may', 'bidding', 'war', 'MoneyGram', 'https', ':', '//t.co/AzNWZpivpE'];90;10;False;False;False;0.0;False;0.1111111111111111;False;False;neg;1.0;646;456;1012;3346;False;True;True;0.0
854360646196047876;['Alibaba’s', 'Ant', 'Financial', 'may', 'bidding', 'war', 'MoneyGram', 'https', ':', '//t.co/VGbrrRgh7M'];90;10;False;False;False;0.0;False;0.1;False;False;neg;1.0;3063;18644;869;663;False;True;False;0.0
854361625196765184;['Bund', '(', 'China', ')', ':', 'Creating', 'New', 'Office', 'Alibaba', 'NBBJ', 'Design', 'shares', 'sneak', 'peek', 'new', 'design', 'Alibaba’s…https', ':', '//t.co/rmOTfuwRtE'];139;19;False;False;False;0.0;False;0.1223021582733813;False;False;pos;1.0;2563;788;126;245;False;True;True;0.0
854361785171943424;['Build', 'Website', 'aprilcode', ':', 'need', 'alibaba', 'type', 'website', 'plz', 'contact', 'asap', '(', 'Budget', ':', '$', '10', '-', '..', '#', 'freelance', '#', 'jobs', 'https', ':', '//t.co/xueR4cqcHh'];136;25;False;False;False;0.0;True;0.03676470588235294;True;False;pos;0.8;870;216004;8499;5840;False;False;False;0.0
854362429664395264;['China’s', 'Ant', 'Financial', 'Really', 'Wants', 'MoneyGram', 'https', ':', '//t.co/i5kyU3OyC5', '#', 'moneygram', '#', 'antfinancial', '#', 'alibaba', '#', 'CFIUS', '#', 'EURONET', '#', 'electronicpayments'];138;21;False;False;False;0.0;False;0.15942028985507245;True;False;neg;1.0;1195;2665;212;204;False;True;True;0.0
854363806054723584;['Alibaba', 'Group', 'Holding', '$', 'BABA', 'Earns', 'Daily', 'News', 'Sentiment', 'Rating', '0.48', 'https', ':', '//t.co/rxyZIyk0fO'];93;14;False;False;False;0.0;False;0.16129032258064516;False;False;neg;1.0;1066;477968;884;6;False;False;True;0.0
854363826334175233;['Alibaba', 'Group', 'Holding', '$', 'BABA', 'Earns', 'Daily', 'News', 'Sentiment', 'Rating', '0.48', 'https', ':', '//t.co/Exozbyp4L6', '#', 'acn'];98;16;False;False;False;0.0;False;0.14285714285714285;True;False;neg;1.0;2802;665470;4985;2811;False;True;True;1.0
854364451855753216;['@', 'aragentum', 'data', 'leds', ',', 'reliable', 'data..', 'got', 'ta', 'match', 'alibaba', 'adores'];99;12;False;False;False;0.0;True;0.0;False;False;pos;0.6;823;31137;200;194;False;True;True;0.0
854365485403697152;['Alibaba', ',', 'Alladin', 'hair', 'beard', 'style', 'certainly', 'worked', 'R', 'Jadeja'];80;10;False;False;False;0.0;False;0.0625;False;False;neg;1.0;3144;185196;2946;1269;False;True;False;0.0
854366149718441985;['#', 'Alibaba', '#', 'Amazon', 'stack', '?', '$', 'BABA', '$', 'AMZN', 'https', ':', '//t.co/CcDxUAvsfs'];92;13;True;False;False;0.0;False;0.16304347826086957;True;False;neg;1.0;3341;11270;30836;974;True;True;True;4.0
854366346015981568;['Hello', 'Kitty', 'Phone', 'Case', 'https', ':', '//t.co/V50OMcqbQn'];46;7;False;False;False;0.0;False;0.17391304347826086;False;False;neg;1.0;489;228;12;62;False;True;False;0.0
854366501083676672;"['#', 'Alibaba', 'poised', 'Strong', 'growth', '&', 'amp', ';', 'continued', 'success', 'https', ':', '//t.co/BHHZo4y6w3']";81;13;False;False;False;0.0;False;0.07407407407407407;True;False;pos;0.6;142;262102;17370;15802;False;True;True;0.0
