"";"Native";"Bytes";"Description"
"93";"<U+274C>";"\xE2\x9D\x8C";"CROSS MARK"
"94";"<U+274E>";"\xE2\x9D\x8E";"NEGATIVE SQUARED CROSS MARK"
"95";"<U+2753>";"\xE2\x9D\x93";"BLACK QUESTION MARK ORNAMENT"
"96";"<U+2754>";"\xE2\x9D\x94";"WHITE QUESTION MARK ORNAMENT"
"97";"<U+2755>";"\xE2\x9D\x95";"WHITE EXCLAMATION MARK ORNAMENT"
"98";"<U+2757>";"\xE2\x9D\x97";"HEAVY EXCLAMATION MARK SYMBOL"
"99";"<U+2764>";"\xE2\x9D\xA4";"HEAVY BLACK HEART"
"100";"<U+2795>";"\xE2\x9E\x95";"HEAVY PLUS SIGN"
"101";"<U+2796>";"\xE2\x9E\x96";"HEAVY MINUS SIGN"
"102";"<U+2797>";"\xE2\x9E\x97";"HEAVY DIVISION SIGN"
"103";"<U+27A1>";"\xE2\x9E\xA1";"BLACK RIGHTWARDS ARROW"
"104";"<U+27B0>";"\xE2\x9E\xB0";"CURLY LOOP"
"105";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E30>";"\xF0\x9F\x9A\x80";"ROCKET"
"106";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E33>";"\xF0\x9F\x9A\x83";"RAILWAY CAR"
"107";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E34>";"\xF0\x9F\x9A\x84";"HIGH-SPEED TRAIN"
"108";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E35>";"\xF0\x9F\x9A\x85";"HIGH-SPEED TRAIN WITH BULLET NOSE"
"109";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E37>";"\xF0\x9F\x9A\x87";"METRO"
"110";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E39>";"\xF0\x9F\x9A\x89";"STATION"
"111";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E63>";"\xF0\x9F\x9A\x8C";"BUS"
"112";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E66>";"\xF0\x9F\x9A\x8F";"BUS STOP"
"113";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E31>";"\xF0\x9F\x9A\x91";"AMBULANCE"
"114";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E32>";"\xF0\x9F\x9A\x92";"FIRE ENGINE"
"115";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E33>";"\xF0\x9F\x9A\x93";"POLICE CAR"
"116";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E35>";"\xF0\x9F\x9A\x95";"TAXI"
"117";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E37>";"\xF0\x9F\x9A\x97";"AUTOMOBILE"
"118";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E39>";"\xF0\x9F\x9A\x99";"RECREATIONAL VEHICLE"
"119";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+393C><U+3E61>";"\xF0\x9F\x9A\x9A";"DELIVERY TRUCK"
"120";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E32>";"\xF0\x9F\x9A\xA2";"SHIP"
"121";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E34>";"\xF0\x9F\x9A\xA4";"SPEEDBOAT"
"122";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E35>";"\xF0\x9F\x9A\xA5";"HORIZONTAL TRAFFIC LIGHT"
"123";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E37>";"\xF0\x9F\x9A\xA7";"CONSTRUCTION SIGN"
"124";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E38>";"\xF0\x9F\x9A\xA8";"POLICE CARS REVOLVING LIGHT"
"125";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E39>";"\xF0\x9F\x9A\xA9";"TRIANGULAR FLAG ON POST"
"126";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E61>";"\xF0\x9F\x9A\xAA";"DOOR"
"127";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E62>";"\xF0\x9F\x9A\xAB";"NO ENTRY SIGN"
"128";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E63>";"\xF0\x9F\x9A\xAC";"SMOKING SYMBOL"
"129";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E64>";"\xF0\x9F\x9A\xAD";"NO SMOKING SYMBOL"
"130";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E32>";"\xF0\x9F\x9A\xB2";"BICYCLE"
"131";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E36>";"\xF0\x9F\x9A\xB6";"PEDESTRIAN"
"132";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E39>";"\xF0\x9F\x9A\xB9";"MENS SYMBOL"
"133";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E61>";"\xF0\x9F\x9A\xBA";"WOMENS SYMBOL"
"134";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E62>";"\xF0\x9F\x9A\xBB";"RESTROOM"
"135";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E63>";"\xF0\x9F\x9A\xBC";"BABY SYMBOL"
"136";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E64>";"\xF0\x9F\x9A\xBD";"TOILET"
"137";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+623C><U+3E65>";"\xF0\x9F\x9A\xBE";"WATER CLOSET"
"138";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E62><U+383C><U+3E30>";"\xF0\x9F\x9B\x80";"BATH"
"139";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E31>";"\xF0\x9F\x9A\x81";"HELICOPTER"
"140";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E32>";"\xF0\x9F\x9A\x82";"STEAM LOCOMOTIVE"
"141";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E36>";"\xF0\x9F\x9A\x86";"TRAIN"
"142";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E38>";"\xF0\x9F\x9A\x88";"LIGHT RAIL"
"143";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+383C><U+3E61>";"\xF0\x9F\x9A\x8A";"TRAM"
