"";"Native";"Bytes";"Description"
"461";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E31>";"\xF0\x9F\x8F\x81";"CHEQUERED FLAG"
"462";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E32>";"\xF0\x9F\x8F\x82";"SNOWBOARDER"
"463";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E33>";"\xF0\x9F\x8F\x83";"RUNNER"
"464";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E34>";"\xF0\x9F\x8F\x84";"SURFER"
"465";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E36>";"\xF0\x9F\x8F\x86";"TROPHY"
"466";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E38>";"\xF0\x9F\x8F\x88";"AMERICAN FOOTBALL"
"467";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E61>";"\xF0\x9F\x8F\x8A";"SWIMMER"
"468";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E30>";"\xF0\x9F\x8F\xA0";"HOUSE BUILDING"
"469";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E31>";"\xF0\x9F\x8F\xA1";"HOUSE WITH GARDEN"
"470";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E32>";"\xF0\x9F\x8F\xA2";"OFFICE BUILDING"
"471";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E33>";"\xF0\x9F\x8F\xA3";"JAPANESE POST OFFICE"
"472";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E35>";"\xF0\x9F\x8F\xA5";"HOSPITAL"
"473";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E36>";"\xF0\x9F\x8F\xA6";"BANK"
"474";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E37>";"\xF0\x9F\x8F\xA7";"AUTOMATED TELLER MACHINE"
"475";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E38>";"\xF0\x9F\x8F\xA8";"HOTEL"
"476";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E39>";"\xF0\x9F\x8F\xA9";"LOVE HOTEL"
"477";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E61>";"\xF0\x9F\x8F\xAA";"CONVENIENCE STORE"
"478";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E62>";"\xF0\x9F\x8F\xAB";"SCHOOL"
"479";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E63>";"\xF0\x9F\x8F\xAC";"DEPARTMENT STORE"
"480";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E64>";"\xF0\x9F\x8F\xAD";"FACTORY"
"481";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E65>";"\xF0\x9F\x8F\xAE";"IZAKAYA LANTERN"
"482";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+613C><U+3E66>";"\xF0\x9F\x8F\xAF";"JAPANESE CASTLE"
"483";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E30>";"\xF0\x9F\x8F\xB0";"EUROPEAN CASTLE"
"484";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+383C><U+3E63>";"\xF0\x9F\x90\x8C";"SNAIL"
"485";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+383C><U+3E64>";"\xF0\x9F\x90\x8D";"SNAKE"
"486";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+383C><U+3E65>";"\xF0\x9F\x90\x8E";"HORSE"
"487";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E31>";"\xF0\x9F\x90\x91";"SHEEP"
"488";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E32>";"\xF0\x9F\x90\x92";"MONKEY"
"489";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E34>";"\xF0\x9F\x90\x94";"CHICKEN"
"490";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E37>";"\xF0\x9F\x90\x97";"BOAR"
"491";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E38>";"\xF0\x9F\x90\x98";"ELEPHANT"
"492";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E39>";"\xF0\x9F\x90\x99";"OCTOPUS"
"493";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E61>";"\xF0\x9F\x90\x9A";"SPIRAL SHELL"
"494";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E62>";"\xF0\x9F\x90\x9B";"BUG"
"495";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E63>";"\xF0\x9F\x90\x9C";"ANT"
"496";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E64>";"\xF0\x9F\x90\x9D";"HONEYBEE"
"497";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E65>";"\xF0\x9F\x90\x9E";"LADY BEETLE"
"498";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+393C><U+3E66>";"\xF0\x9F\x90\x9F";"FISH"
"499";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E30>";"\xF0\x9F\x90\xA0";"TROPICAL FISH"
"500";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E31>";"\xF0\x9F\x90\xA1";"BLOWFISH"
"501";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E32>";"\xF0\x9F\x90\xA2";"TURTLE"
"502";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E33>";"\xF0\x9F\x90\xA3";"HATCHING CHICK"
"503";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E34>";"\xF0\x9F\x90\xA4";"BABY CHICK"
"504";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E35>";"\xF0\x9F\x90\xA5";"FRONT-FACING BABY CHICK"
"505";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E36>";"\xF0\x9F\x90\xA6";"BIRD"
"506";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E37>";"\xF0\x9F\x90\xA7";"PENGUIN"
"507";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E38>";"\xF0\x9F\x90\xA8";"KOALA"
"508";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E39>";"\xF0\x9F\x90\xA9";"POODLE"
"509";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E62>";"\xF0\x9F\x90\xAB";"BACTRIAN CAMEL"
"510";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E63>";"\xF0\x9F\x90\xAC";"DOLPHIN"
"511";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E64>";"\xF0\x9F\x90\xAD";"MOUSE FACE"
"512";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E65>";"\xF0\x9F\x90\xAE";"COW FACE"
"513";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+613C><U+3E66>";"\xF0\x9F\x90\xAF";"TIGER FACE"
"514";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E30>";"\xF0\x9F\x90\xB0";"RABBIT FACE"
"515";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E31>";"\xF0\x9F\x90\xB1";"CAT FACE"
"516";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E32>";"\xF0\x9F\x90\xB2";"DRAGON FACE"
"517";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E33>";"\xF0\x9F\x90\xB3";"SPOUTING WHALE"
"518";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E34>";"\xF0\x9F\x90\xB4";"HORSE FACE"
"519";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E35>";"\xF0\x9F\x90\xB5";"MONKEY FACE"
"520";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E36>";"\xF0\x9F\x90\xB6";"DOG FACE"
"521";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E37>";"\xF0\x9F\x90\xB7";"PIG FACE"
"522";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E38>";"\xF0\x9F\x90\xB8";"FROG FACE"
"523";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E39>";"\xF0\x9F\x90\xB9";"HAMSTER FACE"
"524";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E61>";"\xF0\x9F\x90\xBA";"WOLF FACE"
"525";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E62>";"\xF0\x9F\x90\xBB";"BEAR FACE"
"526";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E63>";"\xF0\x9F\x90\xBC";"PANDA FACE"
"527";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E64>";"\xF0\x9F\x90\xBD";"PIG NOSE"
"528";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E65>";"\xF0\x9F\x90\xBE";"PAW PRINTS"
"529";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E30>";"\xF0\x9F\x91\x80";"EYES"
"530";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E32>";"\xF0\x9F\x91\x82";"EAR"
"531";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E33>";"\xF0\x9F\x91\x83";"NOSE"
"532";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E34>";"\xF0\x9F\x91\x84";"MOUTH"
"533";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E35>";"\xF0\x9F\x91\x85";"TONGUE"
"534";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E36>";"\xF0\x9F\x91\x86";"WHITE UP POINTING BACKHAND INDEX"
"535";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E37>";"\xF0\x9F\x91\x87";"WHITE DOWN POINTING BACKHAND INDEX"
"536";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E38>";"\xF0\x9F\x91\x88";"WHITE LEFT POINTING BACKHAND INDEX"
"537";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39>";"\xF0\x9F\x91\x89";"WHITE RIGHT POINTING BACKHAND INDEX"
"538";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61>";"\xF0\x9F\x91\x8A";"FISTED HAND SIGN"
"539";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E62>";"\xF0\x9F\x91\x8B";"WAVING HAND SIGN"
"540";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63>";"\xF0\x9F\x91\x8C";"OK HAND SIGN"
"541";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64>";"\xF0\x9F\x91\x8D";"THUMBS UP SIGN"
"542";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E65>";"\xF0\x9F\x91\x8E";"THUMBS DOWN SIGN"
"543";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66>";"\xF0\x9F\x91\x8F";"CLAPPING HANDS SIGN"
"544";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E30>";"\xF0\x9F\x91\x90";"OPEN HANDS SIGN"
"545";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E31>";"\xF0\x9F\x91\x91";"CROWN"
"546";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E32>";"\xF0\x9F\x91\x92";"WOMANS HAT"
"547";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E33>";"\xF0\x9F\x91\x93";"EYEGLASSES"
"548";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E34>";"\xF0\x9F\x91\x94";"NECKTIE"
"549";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E35>";"\xF0\x9F\x91\x95";"T-SHIRT"
"550";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E36>";"\xF0\x9F\x91\x96";"JEANS"
"551";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E37>";"\xF0\x9F\x91\x97";"DRESS"
"552";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E38>";"\xF0\x9F\x91\x98";"KIMONO"
"553";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E39>";"\xF0\x9F\x91\x99";"BIKINI"
"554";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E61>";"\xF0\x9F\x91\x9A";"WOMANS CLOTHES"
"555";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E62>";"\xF0\x9F\x91\x9B";"PURSE"
"556";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E63>";"\xF0\x9F\x91\x9C";"HANDBAG"
"557";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E64>";"\xF0\x9F\x91\x9D";"POUCH"
"558";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E65>";"\xF0\x9F\x91\x9E";"MANS SHOE"
"559";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E66>";"\xF0\x9F\x91\x9F";"ATHLETIC SHOE"
"560";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E30>";"\xF0\x9F\x91\xA0";"HIGH-HEELED SHOE"
"561";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E31>";"\xF0\x9F\x91\xA1";"WOMANS SANDAL"
"562";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E32>";"\xF0\x9F\x91\xA2";"WOMANS BOOTS"
"563";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E33>";"\xF0\x9F\x91\xA3";"FOOTPRINTS"
"564";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E34>";"\xF0\x9F\x91\xA4";"BUST IN SILHOUETTE"
"565";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E36>";"\xF0\x9F\x91\xA6";"BOY"
"566";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E37>";"\xF0\x9F\x91\xA7";"GIRL"
"567";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E38>";"\xF0\x9F\x91\xA8";"MAN"
"568";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E39>";"\xF0\x9F\x91\xA9";"WOMAN"
"569";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E61>";"\xF0\x9F\x91\xAA";"FAMILY"
"570";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E62>";"\xF0\x9F\x91\xAB";"MAN AND WOMAN HOLDING HANDS"
"571";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E65>";"\xF0\x9F\x91\xAE";"POLICE OFFICER"
"572";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E66>";"\xF0\x9F\x91\xAF";"WOMAN WITH BUNNY EARS"
"573";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E30>";"\xF0\x9F\x91\xB0";"BRIDE WITH VEIL"
"574";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E31>";"\xF0\x9F\x91\xB1";"PERSON WITH BLOND HAIR"
"575";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E32>";"\xF0\x9F\x91\xB2";"MAN WITH GUA PI MAO"
"576";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E33>";"\xF0\x9F\x91\xB3";"MAN WITH TURBAN"
"577";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E34>";"\xF0\x9F\x91\xB4";"OLDER MAN"
"578";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E35>";"\xF0\x9F\x91\xB5";"OLDER WOMAN"
"579";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E36>";"\xF0\x9F\x91\xB6";"BABY"
"580";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E37>";"\xF0\x9F\x91\xB7";"CONSTRUCTION WORKER"
"581";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E38>";"\xF0\x9F\x91\xB8";"PRINCESS"
"582";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E39>";"\xF0\x9F\x91\xB9";"JAPANESE OGRE"
"583";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E61>";"\xF0\x9F\x91\xBA";"JAPANESE GOBLIN"
"584";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E62>";"\xF0\x9F\x91\xBB";"GHOST"
"585";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E63>";"\xF0\x9F\x91\xBC";"BABY ANGEL"
"586";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E64>";"\xF0\x9F\x91\xBD";"EXTRATERRESTRIAL ALIEN"
"587";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E65>";"\xF0\x9F\x91\xBE";"ALIEN MONSTER"
"588";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E66>";"\xF0\x9F\x91\xBF";"IMP"
"589";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E30>";"\xF0\x9F\x92\x80";"SKULL"
"590";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E31>";"\xF0\x9F\x92\x81";"INFORMATION DESK PERSON"
"591";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E32>";"\xF0\x9F\x92\x82";"GUARDSMAN"
"592";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E33>";"\xF0\x9F\x92\x83";"DANCER"
"593";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E34>";"\xF0\x9F\x92\x84";"LIPSTICK"
"594";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E35>";"\xF0\x9F\x92\x85";"NAIL POLISH"
"595";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E36>";"\xF0\x9F\x92\x86";"FACE MASSAGE"
"596";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E37>";"\xF0\x9F\x92\x87";"HAIRCUT"
"597";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E38>";"\xF0\x9F\x92\x88";"BARBER POLE"
"598";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E39>";"\xF0\x9F\x92\x89";"SYRINGE"
"599";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E61>";"\xF0\x9F\x92\x8A";"PILL"
