;timestamp;test_news;test_spam;testing_set_len;train_news;train_spam;training_set_len;R2;acc_AdaBoost;acc_BernoulliNB;acc_LinearSVC;acc_LogReg;acc_MLP;acc_MNB;acc_Naivebayes;acc_RandomForest;acc_SGD;acc_SVC;acc_Voted;kappa_AdaBoost;kappa_BernoulliNB;kappa_LinearSVC;kappa_LogReg;kappa_MLP;kappa_MNB;kappa_Naivebayes;kappa_RandomForest;kappa_SGD;kappa_SVC;kappa_voted;comments;SVR
31;20170725_17:30:58;423.0;3323.0;3746.0;970.0;7768.0;8738.0;-3.308279509045737e+25;89.38;91.4;89.86;91.48;91.19;90.98;90.82;90.74;89.99;88.71;91.38;0.3247876640921573;0.540605821474084;0.4626061495180189;0.4825962370289035;0.4203571318045373;0.5984890237954649;0.5757557799976164;0.4136202508347781;0.4702570898249385;0.0;0.4951267609630138;;
32;20170725_18:22:30;418.0;3328.0;3746.0;975.0;7763.0;8738.0;-1.7937487486104714e+25;89.96;90.87;90.55;91.72;91.24;89.67;90.42;91.22;91.0;88.84;91.56;0.3747209875929372;0.5204676699001508;0.5193480946222593;0.5073871146729292;0.41848485594261536;0.5417292308509337;0.5500515588436633;0.4699979099812588;0.5109656785534155;0.0;0.5214807652194158;;
33;20170725_19:14:55;419.0;3327.0;3746.0;974.0;7764.0;8738.0;-6.102588407997648e+24;90.04;91.11;90.66;91.88;91.43;89.91;90.52;90.92;90.47;88.81;91.64;0.3487063697527406;0.5305457016987271;0.5113921541006011;0.5072575390049997;0.4238850363022581;0.5477767096644385;0.5601794432681321;0.4287815795020829;0.4999943917140946;0.0;0.5198564767683848;;
34;20170731_15:17:51;21.0;261.0;282.0;49.0;609.0;658.0;0.21;92.91;92.55;92.91;92.55;92.91;75.89;92.55;92.55;92.91;92.55;92.91;0.3762441937624424;0.0;0.20808761583824864;0.0;0.08471275559883239;0.1470509741126234;0.0;0.0;0.3762441937624424;0.0;0.08471275559883239;;-0.01
35;20170731_15:21:21;21.0;261.0;282.0;49.0;609.0;658.0;0.11;91.84;92.55;92.91;92.91;92.91;78.72;92.55;92.55;91.84;92.55;92.91;0.2631220177232455;0.0;0.25808997632202063;0.08471275559883239;0.08471275559883239;0.1151553184813305;0.0;0.0;0.17291507268554093;0.0;0.08471275559883239;;-0.01
36;20170731_15:25:14;26.0;256.0;282.0;44.0;614.0;658.0;0.1;89.72;90.78;91.49;91.13;91.13;74.82;90.78;91.13;90.07;90.78;91.13;0.20771168378221333;0.0;0.22314049586776866;0.06770695583179169;0.06770695583179169;0.11960249758156702;0.0;0.06770695583179169;0.21759809750297185;0.0;0.06770695583179169;;0.0
37;20170731_15:26:53;15.0;267.0;282.0;55.0;603.0;658.0;-0.09;92.91;94.68;94.33;95.04;95.04;80.14;93.97;95.04;95.39;94.68;94.68;0.13204062788550247;0.0;0.1781420765027328;0.20818291215403129;0.20818291215403129;0.12703150912106173;-0.012674271229403395;0.11914323962516625;0.3615464994775337;0.0;0.1924398625429568;;-0.04
38;20170731_15:29:11;20.0;262.0;282.0;50.0;608.0;658.0;-0.11;92.55;92.91;92.55;92.2;92.2;79.79;92.55;92.55;92.2;92.91;92.2;0.13547445255474386;0.0;0.13547445255474386;-0.0130633572828227;-0.0130633572828227;0.17289286816918806;-0.006800408024483499;-0.006800408024483499;0.18109820485744407;0.0;-0.0130633572828227;;-0.01
39;20170731_15:32:46;22.0;260.0;282.0;48.0;610.0;658.0;0.13;91.13;92.2;92.55;92.91;92.91;80.14;92.2;92.55;92.55;92.2;92.91;0.24177242417724315;0.0;0.2475222363405329;0.2118501956400224;0.2118501956400224;0.1500538213132403;0.0;0.14397224631396288;0.32872364543187416;0.0;0.2118501956400224;;-0.0
40;20170731_15:36:47;21.0;261.0;282.0;49.0;609.0;658.0;0.25;92.91;92.55;94.33;92.91;92.91;80.14;92.55;92.55;93.62;92.55;92.91;0.3412754029432379;0.0;0.4064719810576167;0.08471275559883239;0.08471275559883239;0.2495009980039924;0.0;0.0;0.3322809786898187;0.0;0.08471275559883239;;-0.01
41;20170731_15:44:39;31.0;251.0;282.0;39.0;619.0;658.0;0.03;89.01;89.01;89.01;89.01;88.65;79.43;89.01;89.01;89.72;89.01;88.65;0.2010601352586365;0.0;0.0914570775306586;0.0;-0.006918098638698341;0.10141742665641196;0.0;0.0;0.15007274994803554;0.0;-0.006918098638698341;;0.0
42;20170731_15:48:16;20.0;262.0;282.0;50.0;608.0;658.0;0.03;93.97;92.91;93.62;92.91;92.55;78.37;92.91;92.91;93.62;92.91;92.91;0.3463321516225789;0.0;0.23184019370460146;0.0;-0.006800408024483499;0.04337671004337658;0.0;0.0;0.23184019370460146;0.0;0.0;;-0.01
43;20170731_15:51:43;20.0;262.0;282.0;50.0;608.0;658.0;0.01;91.84;92.91;93.97;93.26;93.26;78.37;92.91;92.91;92.55;92.91;93.26;0.3003236245954703;0.0;0.3463321516225789;0.08908534512070547;0.08908534512070547;0.016916218996456418;0.0;0.0;0.286677908937605;0.0;0.08908534512070547;;-0.01
44;20170731_15:55:26;20.0;262.0;282.0;50.0;608.0;658.0;0.05;92.55;92.91;93.26;92.55;92.55;79.08;92.55;92.55;93.26;92.91;92.55;0.3928644658601597;0.0;0.2694300518134705;-0.006800408024483499;0.0697455230914232;0.20338983050847464;-0.006800408024483499;-0.006800408024483499;0.35461334618164264;0.0;0.0697455230914232;;-0.01
45;20170731_15:59:05;26.0;256.0;282.0;44.0;614.0;658.0;0.05;91.49;90.78;89.72;90.78;90.78;78.72;90.78;90.78;91.13;90.78;90.78;0.3293697978596902;0.0;0.0358406036312199;0.0;0.0;0.12295251917893435;0.0;0.0;0.2851348610829453;0.0;0.0;;0.0
46;20170731_16:03:22;22.0;260.0;282.0;48.0;610.0;658.0;0.2;93.62;92.2;93.62;92.2;92.55;78.37;92.2;92.2;91.49;92.2;92.55;0.40866728797763335;0.0;0.2906651760760202;0.0;0.08072027320707661;0.1503506865553688;0.0;0.0;0.3546910755148737;0.0;0.08072027320707661;;-0.0
