;time_stamp;Name;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
64;2017_08_01_19:24:51;AdaBoost;971.0;7711.0;421.0;3301.0;131.0;3220.0;81.0;290.0;90.03;36.59;0.31;0.02;0.62;0.31;0.41;0.98;0.69;0.92;0.98;0.95
65;2017_08_01_19:24:51;Vote;971.0;7711.0;421.0;3301.0;186.0;3222.0;79.0;235.0;91.56;49.84;0.44;0.02;0.7;0.44;0.54;0.98;0.56;0.93;0.98;0.95
66;2017_08_01_17:06:25;LogisticRegression;994.0;7688.0;398.0;3324.0;176.0;3233.0;91.0;222.0;91.59;48.51;0.44;0.03;0.66;0.44;0.53;0.97;0.56;0.94;0.97;0.95
67;2017_08_01_17:06:25;NaiveBayes;994.0;7688.0;398.0;3324.0;274.0;3117.0;207.0;124.0;91.11;57.35;0.69;0.06;0.57;0.69;0.62;0.94;0.31;0.96;0.94;0.95
68;2017_08_01_17:06:25;MultinomialNB;994.0;7688.0;398.0;3324.0;287.0;3082.0;242.0;111.0;90.52;56.63;0.72;0.07;0.54;0.72;0.62;0.93;0.28;0.97;0.93;0.95
69;2017_08_01_17:06:25;BernoulliNB;994.0;7688.0;398.0;3324.0;216.0;3178.0;146.0;182.0;91.19;51.95;0.54;0.04;0.6;0.54;0.57;0.96;0.46;0.95;0.96;0.95
70;2017_08_01_17:06:25;LinearSVC;994.0;7688.0;398.0;3324.0;205.0;3166.0;158.0;193.0;90.57;48.64;0.52;0.05;0.56;0.52;0.54;0.95;0.48;0.94;0.95;0.94
71;2017_08_01_17:06:25;LinearSVC;994.0;7688.0;398.0;3324.0;205.0;3166.0;158.0;193.0;90.57;48.64;0.52;0.05;0.56;0.52;0.54;0.95;0.48;0.94;0.95;0.94
72;2017_08_01_17:06:25;SGD;994.0;7688.0;398.0;3324.0;200.0;3207.0;117.0;198.0;91.54;51.33;0.5;0.04;0.63;0.5;0.56;0.96;0.5;0.94;0.96;0.95
73;2017_08_01_17:06:25;MLP;994.0;7688.0;398.0;3324.0;148.0;3268.0;56.0;250.0;91.78;45.2;0.37;0.02;0.73;0.37;0.49;0.98;0.63;0.93;0.98;0.95
74;2017_08_01_17:06:25;RandomForest;994.0;7688.0;398.0;3324.0;159.0;3219.0;105.0;239.0;90.76;43.19;0.4;0.03;0.6;0.4;0.48;0.97;0.6;0.93;0.97;0.95
75;2017_08_01_17:06:25;AdaBoost;994.0;7688.0;398.0;3324.0;133.0;3245.0;79.0;265.0;90.76;39.08;0.33;0.02;0.63;0.33;0.43;0.98;0.67;0.92;0.98;0.95
76;2017_08_01_17:06:25;Vote;994.0;7688.0;398.0;3324.0;190.0;3216.0;108.0;208.0;91.51;50.02;0.48;0.03;0.64;0.48;0.55;0.97;0.52;0.94;0.97;0.95
77;2017_08_01_16:14:32;LogisticRegression;977.0;7705.0;415.0;3307.0;174.0;3232.0;75.0;241.0;91.51;48.07;0.42;0.02;0.7;0.42;0.53;0.98;0.58;0.93;0.98;0.95
