time_stamp;Train_News;Train_Spam;Accuracy;Kappa;News_F1;AdaBoost;BernoulliNB;LinearSVC;LogisticRegression;MLP;MultinomialNB;NaiveBayes;RandomForest;SGD;SVC;Vote
2017_08_02_21:14:14;975.0;968.0;49.94;0.0;0.67;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_21:14:14;975.0;968.0;51.38;2.87;0.68;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_21:14:14;975.0;968.0;78.99;57.98;0.78;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_21:14:14;975.0;968.0;81.99;63.99;0.82;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_21:14:14;975.0;968.0;85.35;70.71;0.84;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_21:14:14;975.0;968.0;84.15;68.31;0.84;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_21:14:14;975.0;968.0;77.19;54.36;0.73;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_21:14:14;975.0;968.0;86.31;72.63;0.86;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_20:57:48;980.0;963.0;85.95;71.91;0.86;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_20:57:48;980.0;963.0;85.83;71.71;0.86;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_20:57:48;980.0;963.0;85.59;71.23;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_20:57:48;980.0;963.0;85.83;71.71;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_20:57:48;980.0;963.0;84.75;69.51;0.84;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_20:57:48;980.0;963.0;84.63;69.27;0.84;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:57:48;980.0;963.0;49.34;0.0;0.66;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:57:48;980.0;963.0;50.66;2.57;0.67;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:57:48;980.0;963.0;79.47;58.95;0.79;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:57:48;980.0;963.0;83.79;67.55;0.83;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_20:57:48;980.0;963.0;85.83;71.68;0.86;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_20:57:48;980.0;963.0;84.63;69.24;0.84;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_20:57:48;980.0;963.0;77.67;55.16;0.74;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_20:57:48;980.0;963.0;86.31;72.63;0.86;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_20:41:36;990.0;953.0;87.03;74.02;0.86;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_20:41:36;990.0;953.0;85.59;71.27;0.86;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_20:41:36;990.0;953.0;86.19;72.45;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_20:41:36;990.0;953.0;85.47;71.05;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_20:41:36;990.0;953.0;84.63;69.18;0.84;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_20:41:36;990.0;953.0;84.15;68.21;0.83;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:41:36;990.0;953.0;48.14;0.0;0.65;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:41:36;990.0;953.0;49.22;1.99;0.66;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:41:36;990.0;953.0;78.27;56.53;0.78;0;0;0;0;0;0;0;0;0;1;0
