;id;timestamp;Linear Regression;Logistic Regression;Nearest Neighbors;RBF SVM;Linear SVM;Decision Tree;Random Forest;Neural Net;AdaBoost;Naive Bayes;QDA
0;866668601419456512;2017_06_08 15:50:55;[ 0.90259634];[2];[1];[2];[-147.59308803];[1];[1];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:50:55;[ 1.0143061];[1];[1];[2];[-852.63416892];[1];[1];[1];[1];[1];[1]
0;866630898715947009;2017_06_08 15:50:56;[ 0.96302957];[2];[1];[2];[-74.34122276];[1];[1];[1];[1];[2];[1]
0;869132139186573312;2017_06_08 15:50:58;[ 1.22299608];[2];[1];[2];[ 2.86103286];[1];[1];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:50:59;[ 1.1268517];[2];[2];[2];[ 3.11938058];[1];[1];[2];[2];[1];[1]
0;869140128438136832;2017_06_08 15:50:59;[ 1.34415334];[2];[1];[2];[ 1.26788955];[1];[1];[1];[1];[2];[1]
0;866661103203360768;2017_06_08 15:50:32;[ 0.90429814];[2];[2];[2];[ 0.98574012];[1];[2];[2];[1];[2];[2]
0;866668601419456512;2017_06_08 15:50:33;[ 0.89709769];[1];[1];[2];[-253.19572771];[1];[2];[1];[1];[1];[2]
0;866668290290184192;2017_06_08 15:50:34;[ 0.88858148];[1];[1];[2];[-1637.1260407];[1];[1];[1];[1];[1];[1]
0;866630898715947009;2017_06_08 15:50:35;[ 0.96159771];[2];[1];[2];[-144.2906959];[2];[1];[1];[1];[2];[2]
0;869132139186573312;2017_06_08 15:50:36;[ 1.21518789];[2];[1];[2];[ 2.41517728];[2];[2];[2];[1];[2];[2]
0;860779411116888064;2017_06_08 15:50:38;[ 1.11018135];[2];[2];[2];[ 2.60311033];[1];[2];[2];[1];[2];[2]
0;869140128438136832;2017_06_08 15:50:39;[ 1.34613605];[2];[1];[2];[ 3.72684415];[1];[2];[2];[2];[2];[2]
0;866661103203360768;2017_06_08 15:50:11;[ 0.87562606];[2];[2];[2];[ 3.60976022];[1];[2];[2];[1];[2];[1]
0;866668601419456512;2017_06_08 15:50:12;[ 0.87375317];[1];[1];[2];[ 120.3486793];[1];[2];[2];[1];[1];[1]
0;866668290290184192;2017_06_08 15:50:13;[ 0.89075423];[1];[1];[2];[ 778.84747144];[1];[2];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:50:13;[ 0.92961333];[2];[1];[2];[ 72.29361264];[1];[2];[2];[1];[2];[1]
0;869132139186573312;2017_06_08 15:50:14;[ 1.20062852];[2];[2];[2];[ 2.70205717];[1];[2];[2];[1];[2];[1]
0;860779411116888064;2017_06_08 15:50:16;[ 1.11924274];[2];[2];[2];[ 2.90418957];[1];[2];[2];[2];[2];[1]
0;869140128438136832;2017_06_08 15:50:17;[ 1.31974818];[2];[1];[2];[ 2.76587531];[1];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:49:45;[ 0.88128586];[2];[2];[2];[ 0.34354388];[1];[1];[1];[1];[1];[1]
0;866668601419456512;2017_06_08 15:49:46;[ 0.895343];[2];[1];[2];[-214.90298138];[1];[1];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:49:48;[ 1.01352903];[1];[1];[2];[-1342.43446478];[1];[1];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:49:49;[ 0.9516132];[2];[1];[2];[-119.05946063];[1];[1];[2];[1];[2];[1]
0;869132139186573312;2017_06_08 15:49:50;[ 1.20376992];[2];[2];[2];[ 1.64835918];[1];[2];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:49:51;[ 1.11176972];[2];[2];[2];[ 1.72416301];[1];[2];[2];[2];[1];[1]
0;869140128438136832;2017_06_08 15:49:52;[ 1.33073382];[2];[1];[2];[ 2.37073534];[1];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:49:25;[ 0.87717369];[2];[2];[2];[-2.12280901];[1];[1];[1];[1];[1];[2]
0;866668601419456512;2017_06_08 15:49:26;[ 0.88861017];[1];[1];[2];[-729.45543674];[1];[1];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:49:28;[ 1.00321506];[1];[1];[2];[-4633.20151359];[1];[1];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:49:29;[ 0.94569923];[2];[1];[2];[-413.26159783];[2];[2];[2];[1];[2];[1]
0;869132139186573312;2017_06_08 15:49:29;[ 1.19560017];[2];[1];[2];[ 2.2725999];[2];[2];[1];[1];[1];[2]
0;860779411116888064;2017_06_08 15:49:30;[ 1.09611181];[2];[2];[2];[ 2.41956328];[1];[2];[1];[2];[1];[1]
0;869140128438136832;2017_06_08 15:49:31;[ 1.33065107];[2];[1];[2];[ 3.00017651];[2];[2];[2];[2];[2];[2]
0;866661103203360768;2017_06_08 15:49:04;[ 0.88948946];[1];[2];[2];[ 2.39432408];[1];[2];[1];[1];[1];[1]
0;866668601419456512;2017_06_08 15:49:06;[ 0.90948559];[1];[1];[2];[-34.77636393];[1];[2];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:49:07;[ 1.00840073];[1];[1];[2];[-21.39174612];[1];[1];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:49:08;[ 0.96225847];[2];[1];[2];[-0.6617931];[1];[2];[2];[1];[2];[1]
0;869132139186573312;2017_06_08 15:49:09;[ 1.21930892];[1];[1];[2];[ 2.67270666];[1];[2];[1];[1];[1];[1]
0;860779411116888064;2017_06_08 15:49:09;[ 1.1144311];[1];[2];[2];[ 2.87626621];[1];[2];[1];[2];[1];[1]
0;869140128438136832;2017_06_08 15:49:10;[ 1.34466249];[2];[1];[2];[-0.79032623];[1];[2];[2];[1];[2];[1]
